fx,ty,target_weight
-184.0003304462138,5299.498297510931,0.327
-185.7531786206407,5348.08762419585,0.327
-185.42153855912093,5331.82878739211,0.327
-182.04969186179179,5325.830110102016,0.327
-183.7542005980412,5321.453177103299,0.327
-207.3193694639431,4992.132608273853,0.548
-206.60333027634,4974.903186906972,0.548
-207.00539566421008,4953.606602655244,0.548
-208.50483311582687,4959.950336405991,0.548
-206.58503504031316,4958.981591924385,0.548
-194.6618022926063,5164.475296052574,0.449
-193.9915687357959,5152.893723468223,0.449
-195.34818188923003,5158.682578170634,0.449
-197.75490778574348,5171.316032177741,0.449
-191.05825431907886,5200.774298872171,0.449
-147.59708212769291,5836.737480547143,0.033
-146.92305491183154,5837.5726628262855,0.033
-147.03353494091155,5837.42792825128,0.033
-146.31099192699267,5840.207207370333,0.033
-148.30780858663297,5847.1080605314455,0.033
-163.55436153340202,5619.112053344021,0.177
-163.46299431802655,5612.979621034461,0.177
-163.30451788846224,5615.854691946284,0.177
-162.65669560091612,5618.315762238333,0.177
-167.35423386311174,5629.550192273204,0.177
-144.86954031208413,5881.806918243983,0.0
-144.99588637265066,5877.527477616645,0.0
-144.79098773825572,5872.5687676064235,0.0
-144.5666113792073,5873.334892386982,0.0
-145.07273067590978,5870.154848346392,0.0
-142.926255310212,5866.603078990741,0.003
-142.31208392463157,5863.842658270484,0.003
-141.84888814671191,5865.472845372805,0.003
-143.07779064600322,5871.437854658805,0.003
-143.9525994767704,5878.601454649242,0.003
